Game won?;0
Distance Ball Traveled;84.21580000000021
Distance Ball Traveled Alone;84.21580000000021
Distance Ball was held;0.0
Time steps the ball was alone;1623
Time steps the ball was held;165
Offender RCB distance traveled;49.60000000000054
Offender RCB distance traveled without ball;44.83000000000045
Offender RCB distance traveled with ball;4.769999999999985
Offender RCB time steps without ball;1628
Offender RCB time steps with ball;160
Offender RCB receive locations;[(-9.399746913492814, 49.83636231843213)]
Offender RCB number of keeps;159
Offender RCB number of goals;0
Offender RCB location of goal shots;[]
Offender RCB number of passes;2
Offender RCB number of goal attempts;0
Offender RCB locations of goal attempts;[]
Offender CCB distance traveled;53.64000000000038
Offender CCB distance traveled without ball;53.64000000000038
Offender CCB distance traveled with ball;0
Offender CCB time steps without ball;1788
Offender CCB time steps with ball;0
Offender CCB receive locations;[]
Offender CCB number of keeps;0
Offender CCB number of goals;0
Offender CCB location of goal shots;[]
Offender CCB number of passes;0
Offender CCB number of goal attempts;0
Offender CCB locations of goal attempts;[]
Offender LCB distance traveled;49.540000000000106
Offender LCB distance traveled without ball;49.540000000000106
Offender LCB distance traveled with ball;0
Offender LCB time steps without ball;1787
Offender LCB time steps with ball;1
Offender LCB receive locations;[(3.8344720921776476, 57.958872893561555)]
Offender LCB number of keeps;0
Offender LCB number of goals;0
Offender LCB location of goal shots;[]
Offender LCB number of passes;1
Offender LCB number of goal attempts;0
Offender LCB locations of goal attempts;[]
Offender RWB distance traveled;53.640000000000725
Offender RWB distance traveled without ball;53.640000000000725
Offender RWB distance traveled with ball;0
Offender RWB time steps without ball;1788
Offender RWB time steps with ball;0
Offender RWB receive locations;[]
Offender RWB number of keeps;0
Offender RWB number of goals;0
Offender RWB location of goal shots;[]
Offender RWB number of passes;0
Offender RWB number of goal attempts;0
Offender RWB locations of goal attempts;[]
Offender RDM distance traveled;53.64000000000015
Offender RDM distance traveled without ball;53.64000000000015
Offender RDM distance traveled with ball;0
Offender RDM time steps without ball;1788
Offender RDM time steps with ball;0
Offender RDM receive locations;[]
Offender RDM number of keeps;0
Offender RDM number of goals;0
Offender RDM location of goal shots;[]
Offender RDM number of passes;0
Offender RDM number of goal attempts;0
Offender RDM locations of goal attempts;[]
Offender CAM distance traveled;53.640000000000725
Offender CAM distance traveled without ball;53.640000000000725
Offender CAM distance traveled with ball;0
Offender CAM time steps without ball;1788
Offender CAM time steps with ball;0
Offender CAM receive locations;[]
Offender CAM number of keeps;0
Offender CAM number of goals;0
Offender CAM location of goal shots;[]
Offender CAM number of passes;0
Offender CAM number of goal attempts;0
Offender CAM locations of goal attempts;[]
Offender LDM distance traveled;47.31999999999953
Offender LDM distance traveled without ball;47.31999999999953
Offender LDM distance traveled with ball;0
Offender LDM time steps without ball;1786
Offender LDM time steps with ball;2
Offender LDM receive locations;[(3.7081593819588807, 46.69321365576181), (2.483064372728707, 33.12868218733554)]
Offender LDM number of keeps;0
Offender LDM number of goals;0
Offender LDM location of goal shots;[]
Offender LDM number of passes;2
Offender LDM number of goal attempts;0
Offender LDM locations of goal attempts;[]
Offender LWB distance traveled;53.64000000000084
Offender LWB distance traveled without ball;53.64000000000084
Offender LWB distance traveled with ball;0
Offender LWB time steps without ball;1788
Offender LWB time steps with ball;0
Offender LWB receive locations;[]
Offender LWB number of keeps;0
Offender LWB number of goals;0
Offender LWB location of goal shots;[]
Offender LWB number of passes;0
Offender LWB number of goal attempts;0
Offender LWB locations of goal attempts;[]
Offender RF distance traveled;50.32000000000139
Offender RF distance traveled without ball;50.32000000000139
Offender RF distance traveled with ball;0
Offender RF time steps without ball;1787
Offender RF time steps with ball;1
Offender RF receive locations;[(-8.981145814750395, 34.41029109015265)]
Offender RF number of keeps;0
Offender RF number of goals;0
Offender RF location of goal shots;[]
Offender RF number of passes;1
Offender RF number of goal attempts;0
Offender RF locations of goal attempts;[]
Offender LF distance traveled;53.64000000000083
Offender LF distance traveled without ball;53.64000000000083
Offender LF distance traveled with ball;0
Offender LF time steps without ball;1788
Offender LF time steps with ball;0
Offender LF receive locations;[]
Offender LF number of keeps;0
Offender LF number of goals;0
Offender LF location of goal shots;[]
Offender LF number of passes;0
Offender LF number of goal attempts;0
Offender LF locations of goal attempts;[]
Defender LB distance traveled;53.64000000000085
Defender LB interceptions;0
Defender LB interception locations;[]
Defender LB number of blocks;0
Defender LCB distance traveled;53.64000000000102
Defender LCB interceptions;0
Defender LCB interception locations;[]
Defender LCB number of blocks;0
Defender RCB distance traveled;53.64000000000103
Defender RCB interceptions;0
Defender RCB interception locations;[]
Defender RCB number of blocks;0
Defender RB distance traveled;53.64000000000076
Defender RB interceptions;0
Defender RB interception locations;[]
Defender RB number of blocks;0
Defender LM distance traveled;53.64000000000065
Defender LM interceptions;0
Defender LM interception locations;[]
Defender LM number of blocks;0
Defender LCM distance traveled;53.64000000000089
Defender LCM interceptions;0
Defender LCM interception locations;[]
Defender LCM number of blocks;0
Defender RCM distance traveled;53.640000000001
Defender RCM interceptions;0
Defender RCM interception locations;[]
Defender RCM number of blocks;0
Defender RM distance traveled;53.640000000000896
Defender RM interceptions;0
Defender RM interception locations;[]
Defender RM number of blocks;0
Defender LF distance traveled;53.6400000000004
Defender LF interceptions;1
Defender LF interception locations;[(-5.823030117710498, 36.372636869779974)]
Defender LF number of blocks;0
Defender RF distance traveled;53.6400000000005
Defender RF interceptions;0
Defender RF interception locations;[]
Defender RF number of blocks;0
