Game won?;0
Distance Ball Traveled;198.0904000000001
Distance Ball Traveled Alone;198.0904000000001
Distance Ball was held;0.0
Time steps the ball was alone;4223
Time steps the ball was held;602
Offender RCB distance traveled;122.23000000000586
Offender RCB distance traveled without ball;122.23000000000586
Offender RCB distance traveled with ball;0
Offender RCB time steps without ball;4824
Offender RCB time steps with ball;1
Offender RCB receive locations;[(0.25185277810660495, 38.57379025028972)]
Offender RCB number of keeps;0
Offender RCB number of goals;0
Offender RCB location of goal shots;[]
Offender RCB number of passes;1
Offender RCB number of goal attempts;0
Offender RCB locations of goal attempts;[]
Offender CCB distance traveled;141.6700000000039
Offender CCB distance traveled without ball;141.6700000000039
Offender CCB distance traveled with ball;0
Offender CCB time steps without ball;4824
Offender CCB time steps with ball;1
Offender CCB receive locations;[(6.818637755512292, 33.88766024454077)]
Offender CCB number of keeps;0
Offender CCB number of goals;0
Offender CCB location of goal shots;[]
Offender CCB number of passes;1
Offender CCB number of goal attempts;0
Offender CCB locations of goal attempts;[]
Offender LCB distance traveled;144.75000000000335
Offender LCB distance traveled without ball;141.06000000000327
Offender LCB distance traveled with ball;3.689999999999972
Offender LCB time steps without ball;4702
Offender LCB time steps with ball;123
Offender LCB receive locations;[]
Offender LCB number of keeps;123
Offender LCB number of goals;0
Offender LCB location of goal shots;[]
Offender LCB number of passes;1
Offender LCB number of goal attempts;0
Offender LCB locations of goal attempts;[]
Offender RWB distance traveled;141.14696812669598
Offender RWB distance traveled without ball;141.14696812669598
Offender RWB distance traveled with ball;0
Offender RWB time steps without ball;4824
Offender RWB time steps with ball;1
Offender RWB receive locations;[(-2.4357476965020464, 28.757637970738017)]
Offender RWB number of keeps;0
Offender RWB number of goals;0
Offender RWB location of goal shots;[]
Offender RWB number of passes;1
Offender RWB number of goal attempts;0
Offender RWB locations of goal attempts;[]
Offender RAM distance traveled;138.9989669558554
Offender RAM distance traveled without ball;136.89896695585531
Offender RAM distance traveled with ball;2.099999999999992
Offender RAM time steps without ball;4753
Offender RAM time steps with ball;72
Offender RAM receive locations;[(16.356003280620236, 36.3264012714438), (3.29434140821016, 31.947049607365447)]
Offender RAM number of keeps;70
