Game won?;0
Distance Ball Traveled;184.86664999999942
Distance Ball Traveled Alone;184.86664999999942
Distance Ball was held;0.0
Time steps the ball was alone;3834
Time steps the ball was held;1568
Offender RB distance traveled;158.164843469116
Offender RB distance traveled without ball;154.32484346911582
Offender RB distance traveled with ball;3.8400000000000096
Offender RB time steps without ball;5273
Offender RB time steps with ball;129
Offender RB receive locations;[(-22.868642991723533, 31.969841895882542)]
Offender RB number of keeps;128
Offender RB number of goals;0
Offender RB location of goal shots;[]
Offender RB number of passes;1
Offender RB number of goal attempts;0
Offender RB locations of goal attempts;[]
Offender RCB distance traveled;155.73560952680353
Offender RCB distance traveled without ball;145.08560952680358
Offender RCB distance traveled with ball;10.649999999999986
Offender RCB time steps without ball;5045
Offender RCB time steps with ball;357
Offender RCB receive locations;[(3.0946199004823707, 57.95446199856147), (-9.820572584798013, 42.28103002033698)]
Offender RCB number of keeps;355
Offender RCB number of goals;0
Offender RCB location of goal shots;[]
Offender RCB number of passes;3
Offender RCB number of goal attempts;0
Offender RCB locations of goal attempts;[]
Offender LCB distance traveled;156.48000000000476
Offender LCB distance traveled without ball;149.1000000000045
Offender LCB distance traveled with ball;7.3800000000000185
Offender LCB time steps without ball;5154
Offender LCB time steps with ball;248
Offender LCB receive locations;[(11.627931535728989, 56.3162181731545), (-2.779579200311102, 35.83049525208035)]
Offender LCB number of keeps;246
Offender LCB number of goals;0
Offender LCB location of goal shots;[]
Offender LCB number of passes;2
Offender LCB number of goal attempts;0
Offender LCB locations of goal attempts;[]
Offender LB distance traveled;162.06000000000415
Offender LB distance traveled without ball;162.06000000000415
Offender LB distance traveled with ball;0
Offender LB time steps without ball;5402
Offender LB time steps with ball;0
Offender LB receive locations;[]
Offender LB number of keeps;0
Offender LB number of goals;0
Offender LB location of goal shots;[]
Offender LB number of passes;0
Offender LB number of goal attempts;0
Offender LB locations of goal attempts;[]
Offender RDM distance traveled;159.3800000000049
Offender RDM distance traveled without ball;153.7400000000047
Offender RDM distance traveled with ball;5.640000000000024
Offender RDM time steps without ball;5213
Offender RDM time steps with ball;189
Offender RDM receive locations;[(-7.845349449038398, 29.125267068567787)]
Offender RDM number of keeps;188
Offender RDM number of goals;0
Offender RDM location of goal shots;[]
Offender RDM number of passes;1
Offender RDM number of goal attempts;0
Offender RDM locations of goal attempts;[]
Offender LDM distance traveled;153.0711093766062
Offender LDM distance traveled without ball;141.82110937660607
Offender LDM distance traveled with ball;11.250000000000044
Offender LDM time steps without ball;5024
Offender LDM time steps with ball;378
Offender LDM receive locations;[(-2.780843640801392, 48.30199944574561), (-0.30330817119342973, 29.998116664954058), (-2.393704583910203, 27.107569428516044)]
Offender LDM number of keeps;375
Offender LDM number of goals;0
Offender LDM location of goal shots;[]
Offender LDM number of passes;3
Offender LDM number of goal attempts;0
Offender LDM locations of goal attempts;[]
Offender RW distance traveled;158.6000000000042
Offender RW distance traveled without ball;153.110000000004
Offender RW distance traveled with ball;5.489999999999997
Offender RW time steps without ball;5218
Offender RW time steps with ball;184
Offender RW receive locations;[(-11.972089673766591, 29.309005179771493)]
Offender RW number of keeps;183
Offender RW number of goals;0
Offender RW location of goal shots;[]
Offender RW number of passes;1
Offender RW number of goal attempts;0
Offender RW locations of goal attempts;[]
Offender CAM distance traveled;141.67999999999947
Offender CAM distance traveled without ball;139.28000000000281
Offender CAM distance traveled with ball;2.399999999999964
Offender CAM time steps without ball;5320
Offender CAM time steps with ball;82
Offender CAM receive locations;[(3.408826793757579, 40.8824403312546), (-7.714113083169551, 28.855073806369447)]
Offender CAM number of keeps;80
Offender CAM number of goals;0
Offender CAM location of goal shots;[]
Offender CAM number of passes;2
Offender CAM number of goal attempts;0
Offender CAM locations of goal attempts;[]
Offender LW distance traveled;162.06000000000466
Offender LW distance traveled without ball;162.06000000000466
Offender LW distance traveled with ball;0
Offender LW time steps without ball;5402
Offender LW time steps with ball;0
Offender LW receive locations;[]
Offender LW number of keeps;0
Offender LW number of goals;0
Offender LW location of goal shots;[]
Offender LW number of passes;0
Offender LW number of goal attempts;0
Offender LW locations of goal attempts;[]
Offender CF distance traveled;162.03738231332693
Offender CF distance traveled without ball;162.03738231332693
Offender CF distance traveled with ball;0
Offender CF time steps without ball;5402
Offender CF time steps with ball;0
Offender CF receive locations;[]
Offender CF number of keeps;0
Offender CF number of goals;0
Offender CF location of goal shots;[]
Offender CF number of passes;0
Offender CF number of goal attempts;0
Offender CF locations of goal attempts;[]
Defender LCB distance traveled;162.0600000000051
Defender LCB interceptions;0
Defender LCB interception locations;[]
Defender LCB number of blocks;0
Defender CCB distance traveled;162.0600000000052
Defender CCB interceptions;0
Defender CCB interception locations;[]
Defender CCB number of blocks;0
Defender RCB distance traveled;162.06000000000498
Defender RCB interceptions;0
Defender RCB interception locations;[]
Defender RCB number of blocks;0
Defender LM distance traveled;162.0600000000045
Defender LM interceptions;0
Defender LM interception locations;[]
Defender LM number of blocks;0
Defender LCM distance traveled;162.06000000000498
Defender LCM interceptions;0
Defender LCM interception locations;[]
Defender LCM number of blocks;0
Defender RCM distance traveled;162.06000000000483
Defender RCM interceptions;1
Defender RCM interception locations;[(-0.6455735401827739, 9.375408976674949)]
Defender RCM number of blocks;0
Defender RM distance traveled;162.06000000000446
Defender RM interceptions;0
Defender RM interception locations;[]
Defender RM number of blocks;0
Defender LW distance traveled;162.06000000000452
Defender LW interceptions;0
Defender LW interception locations;[]
Defender LW number of blocks;1
Defender CF distance traveled;162.06000000000452
Defender CF interceptions;0
Defender CF interception locations;[]
Defender CF number of blocks;0
Defender RW distance traveled;162.06000000000452
Defender RW interceptions;0
Defender RW interception locations;[]
Defender RW number of blocks;0
