Game won?;1
Distance Ball Traveled;306.6731499999995
Distance Ball Traveled Alone;306.6731499999995
Distance Ball was held;0.0
Time steps the ball was alone;5667
Time steps the ball was held;3080
Offender RB distance traveled;255.0100000000063
Offender RB distance traveled without ball;251.80000000000618
Offender RB distance traveled with ball;3.210000000000012
Offender RB time steps without ball;8638
Offender RB time steps with ball;109
Offender RB receive locations;[(-17.88960743014103, 27.719668636100568), (-33.4306359205201, 32.31135859607379)]
Offender RB number of keeps;107
Offender RB number of goals;0
Offender RB location of goal shots;[]
Offender RB number of passes;2
Offender RB number of goal attempts;0
Offender RB locations of goal attempts;[]
Offender RCB distance traveled;259.29000000000394
Offender RCB distance traveled without ball;250.050000000006
Offender RCB distance traveled with ball;9.239999999999984
Offender RCB time steps without ball;8437
Offender RCB time steps with ball;310
Offender RCB receive locations;[(-4.246763367676076, 51.32564942786876), (-16.15229757979992, 39.79219887347857)]
Offender RCB number of keeps;308
Offender RCB number of goals;0
Offender RCB location of goal shots;[]
Offender RCB number of passes;2
Offender RCB number of goal attempts;0
Offender RCB locations of goal attempts;[]
Offender LCB distance traveled;258.0900000000068
Offender LCB distance traveled without ball;241.17000000000667
Offender LCB distance traveled with ball;16.919999999999987
Offender LCB time steps without ball;8181
Offender LCB time steps with ball;566
Offender LCB receive locations;[(5.128527726365051, 31.789799103915804), (3.463019365758336, 43.48766561617418)]
Offender LCB number of keeps;564
Offender LCB number of goals;0
Offender LCB location of goal shots;[]
Offender LCB number of passes;3
Offender LCB number of goal attempts;0
Offender LCB locations of goal attempts;[]
Offender LB distance traveled;262.4100000000043
Offender LB distance traveled without ball;262.4100000000043
Offender LB distance traveled with ball;0
Offender LB time steps without ball;8747
Offender LB time steps with ball;0
Offender LB receive locations;[]
Offender LB number of keeps;0
Offender LB number of goals;0
Offender LB location of goal shots;[]
Offender LB number of passes;0
Offender LB number of goal attempts;0
Offender LB locations of goal attempts;[]
Offender RDM distance traveled;209.04999999999416
Offender RDM distance traveled without ball;209.04999999999416
Offender RDM distance traveled with ball;0
Offender RDM time steps without ball;8747
Offender RDM time steps with ball;0
Offender RDM receive locations;[]
Offender RDM number of keeps;0
Offender RDM number of goals;0
Offender RDM location of goal shots;[]
Offender RDM number of passes;0
Offender RDM number of goal attempts;0
Offender RDM locations of goal attempts;[]
Offender LDM distance traveled;252.5100000000047
Offender LDM distance traveled without ball;232.29000000000394
Offender LDM distance traveled with ball;20.21999999999996
Offender LDM time steps without ball;8070
Offender LDM time steps with ball;677
Offender LDM receive locations;[(-5.1476590320985, 30.08423884517941), (-10.436606499746908, 25.987078349286335), (-4.832948989606589, 21.13451795656109)]
Offender LDM number of keeps;674
Offender LDM number of goals;1
Offender LDM location of goal shots;[(-4.832948989606589, 21.13451795656109)]
Offender LDM number of passes;3
Offender LDM number of goal attempts;1
Offender LDM locations of goal attempts;[(-4.812096550429577, 21.156085890638536)]
Offender RW distance traveled;251.89000000000584
Offender RW distance traveled without ball;232.90000000000512
Offender RW distance traveled with ball;18.989999999999988
Offender RW time steps without ball;8111
Offender RW time steps with ball;636
Offender RW receive locations;[(-20.675626483338803, 37.79445504185652), (-15.457507141067973, 30.568568678773385), (-26.132933530606937, 32.2566817204277)]
Offender RW number of keeps;633
Offender RW number of goals;0
Offender RW location of goal shots;[]
Offender RW number of passes;3
Offender RW number of goal attempts;0
Offender RW locations of goal attempts;[]
Offender CAM distance traveled;252.69000000000665
Offender CAM distance traveled without ball;245.70000000000636
Offender CAM distance traveled with ball;6.989999999999996
Offender CAM time steps without ball;8511
Offender CAM time steps with ball;236
Offender CAM receive locations;[(9.853491117362735, 45.07954845307599), (-6.4854188306490315, 19.330533584513415), (-22.319184934821745, 24.150963573235778)]
Offender CAM number of keeps;233
Offender CAM number of goals;0
Offender CAM location of goal shots;[]
Offender CAM number of passes;3
Offender CAM number of goal attempts;0
Offender CAM locations of goal attempts;[]
Offender LW distance traveled;262.410000000003
Offender LW distance traveled without ball;262.410000000003
Offender LW distance traveled with ball;0
Offender LW time steps without ball;8747
Offender LW time steps with ball;0
Offender LW receive locations;[]
Offender LW number of keeps;0
Offender LW number of goals;0
Offender LW location of goal shots;[]
Offender LW number of passes;0
Offender LW number of goal attempts;0
Offender LW locations of goal attempts;[]
Offender CF distance traveled;248.73000000000616
Offender CF distance traveled without ball;232.4700000000055
Offender CF distance traveled with ball;16.259999999999994
Offender CF time steps without ball;8201
Offender CF time steps with ball;546
Offender CF receive locations;[(6.09755566127802, 25.559960371689087), (-16.070518920046478, 22.891332154117617), (-25.845482399013683, 19.490406049469048), (-23.274605654309, 9.709127213308886)]
Offender CF number of keeps;542
Offender CF number of goals;0
Offender CF location of goal shots;[]
Offender CF number of passes;4
Offender CF number of goal attempts;0
Offender CF locations of goal attempts;[]
Defender LCB distance traveled;262.4100000000035
Defender LCB interceptions;0
Defender LCB interception locations;[]
Defender LCB number of blocks;0
Defender CCB distance traveled;262.4100000000029
Defender CCB interceptions;0
Defender CCB interception locations;[]
Defender CCB number of blocks;0
Defender RCB distance traveled;262.41000000000275
Defender RCB interceptions;0
Defender RCB interception locations;[]
Defender RCB number of blocks;0
Defender LWB distance traveled;262.4100000000036
Defender LWB interceptions;0
Defender LWB interception locations;[]
Defender LWB number of blocks;0
Defender LDM distance traveled;262.4100000000033
Defender LDM interceptions;0
Defender LDM interception locations;[]
Defender LDM number of blocks;0
Defender CAM distance traveled;262.41000000000344
