Game won?;0
Distance Ball Traveled;231.25479999999868
Distance Ball Traveled Alone;231.25479999999868
Distance Ball was held;0.0
Time steps the ball was alone;4761
Time steps the ball was held;2055
Offender RB distance traveled;197.12000000000307
Offender RB distance traveled without ball;179.24000000000513
Offender RB distance traveled with ball;17.879999999999903
Offender RB time steps without ball;6218
Offender RB time steps with ball;598
Offender RB receive locations;[(-29.507046392344925, 55.00470077413416), (-11.044524479002803, 39.55716932824656)]
Offender RB number of keeps;596
Offender RB number of goals;0
Offender RB location of goal shots;[]
Offender RB number of passes;2
Offender RB number of goal attempts;0
Offender RB locations of goal attempts;[]
Offender RCB distance traveled;204.48000000000613
Offender RCB distance traveled without ball;201.90000000000603
Offender RCB distance traveled with ball;2.580000000000013
Offender RCB time steps without ball;6730
Offender RCB time steps with ball;86
Offender RCB receive locations;[]
Offender RCB number of keeps;86
Offender RCB number of goals;0
Offender RCB location of goal shots;[]
Offender RCB number of passes;1
Offender RCB number of goal attempts;0
Offender RCB locations of goal attempts;[]
Offender LCB distance traveled;203.96000000000606
Offender LCB distance traveled without ball;199.16000000000588
Offender LCB distance traveled with ball;4.800000000000006
Offender LCB time steps without ball;6655
Offender LCB time steps with ball;161
Offender LCB receive locations;[(-5.673419464813826, 54.086652602892634)]
Offender LCB number of keeps;160
Offender LCB number of goals;0
Offender LCB location of goal shots;[]
Offender LCB number of passes;1
Offender LCB number of goal attempts;0
Offender LCB locations of goal attempts;[]
Offender LB distance traveled;195.48000000000684
Offender LB distance traveled without ball;179.73000000000624
Offender LB distance traveled with ball;15.750000000000066
Offender LB time steps without ball;6289
Offender LB time steps with ball;527
Offender LB receive locations;[(-10.1422432015905, 52.253903770939445), (3.1508347736982865, 31.12395895717548)]
Offender LB number of keeps;525
Offender LB number of goals;0
Offender LB location of goal shots;[]
Offender LB number of passes;2
Offender LB number of goal attempts;0
Offender LB locations of goal attempts;[]
Offender RDM distance traveled;198.58798106520277
Offender RDM distance traveled without ball;188.44798106520238
Offender RDM distance traveled with ball;10.140000000000011
Offender RDM time steps without ball;6476
Offender RDM time steps with ball;340
Offender RDM receive locations;[(-36.76748786755416, 51.60628821026922), (-15.547482227907443, 26.54496136565637)]
Offender RDM number of keeps;338
Offender RDM number of goals;0
Offender RDM location of goal shots;[]
Offender RDM number of passes;2
Offender RDM number of goal attempts;0
Offender RDM locations of goal attempts;[]
Offender LDM distance traveled;201.3800000000048
Offender LDM distance traveled without ball;199.46000000000473
Offender LDM distance traveled with ball;1.9200000000000232
Offender LDM time steps without ball;6751
Offender LDM time steps with ball;65
Offender LDM receive locations;[(-1.0356310695153486, 37.42469366492807)]
Offender LDM number of keeps;64
Offender LDM number of goals;0
Offender LDM location of goal shots;[]
Offender LDM number of passes;1
Offender LDM number of goal attempts;0
Offender LDM locations of goal attempts;[]
Offender RW distance traveled;197.80000000000464
Offender RW distance traveled without ball;197.80000000000464
Offender RW distance traveled with ball;0
Offender RW time steps without ball;6814
Offender RW time steps with ball;2
Offender RW receive locations;[(-20.46603216807515, 14.696312049405917), (-19.907502325069064, 20.077831731722373)]
Offender RW number of keeps;0
Offender RW number of goals;0
Offender RW location of goal shots;[]
Offender RW number of passes;2
Offender RW number of goal attempts;0
Offender RW locations of goal attempts;[]
Offender CAM distance traveled;198.0400000000053
Offender CAM distance traveled without ball;189.880000000005
Offender CAM distance traveled with ball;8.159999999999977
Offender CAM time steps without ball;6542
Offender CAM time steps with ball;274
Offender CAM receive locations;[(-6.046958935544476, 24.423352620674756), (-2.908969274664484, 26.052416343380585)]
Offender CAM number of keeps;272
Offender CAM number of goals;0
Offender CAM location of goal shots;[]
Offender CAM number of passes;2
Offender CAM number of goal attempts;0
Offender CAM locations of goal attempts;[]
Offender LW distance traveled;204.48000000000678
Offender LW distance traveled without ball;204.48000000000678
Offender LW distance traveled with ball;0
Offender LW time steps without ball;6816
Offender LW time steps with ball;0
Offender LW receive locations;[]
Offender LW number of keeps;0
Offender LW number of goals;0
Offender LW location of goal shots;[]
Offender LW number of passes;0
Offender LW number of goal attempts;0
Offender LW locations of goal attempts;[]
Offender CF distance traveled;200.72000000000733
Offender CF distance traveled without ball;200.72000000000733
Offender CF distance traveled with ball;0
Offender CF time steps without ball;6815
Offender CF time steps with ball;1
Offender CF receive locations;[(-4.151927253383023, 36.3977761246917)]
Offender CF number of keeps;0
Offender CF number of goals;0
Offender CF location of goal shots;[]
Offender CF number of passes;1
Offender CF number of goal attempts;0
Offender CF locations of goal attempts;[]
Defender LB distance traveled;204.48000000000567
Defender LB interceptions;0
Defender LB interception locations;[]
Defender LB number of blocks;0
Defender LCB distance traveled;204.4800000000065
Defender LCB interceptions;0
Defender LCB interception locations;[]
Defender LCB number of blocks;0
Defender RCB distance traveled;204.4800000000069
Defender RCB interceptions;0
Defender RCB interception locations;[]
Defender RCB number of blocks;0
Defender RB distance traveled;204.48000000000667
Defender RB interceptions;0
Defender RB interception locations;[]
Defender RB number of blocks;0
Defender LDM distance traveled;204.48000000000627
Defender LDM interceptions;0
Defender LDM interception locations;[]
Defender LDM number of blocks;0
Defender RDM distance traveled;204.48000000000633
Defender RDM interceptions;1
Defender RDM interception locations;[(-2.303434957166257, 2.690273421330095)]
Defender RDM number of blocks;0
Defender LW distance traveled;204.4800000000057
Defender LW interceptions;0
Defender LW interception locations;[]
Defender LW number of blocks;0
Defender CAM distance traveled;204.48000000000627
Defender CAM interceptions;0
Defender CAM interception locations;[]
Defender CAM number of blocks;1
Defender RW distance traveled;204.4800000000065
Defender RW interceptions;0
Defender RW interception locations;[]
Defender RW number of blocks;0
Defender CF distance traveled;204.4800000000064
Defender CF interceptions;0
Defender CF interception locations;[]
Defender CF number of blocks;0
